ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000134690,168.7078633032933,4.075292989313256,0.1555778079581194,26.1945649112777,3.064664730162529e-151,7.169170203269204e-147,CDCA8
ENSG00000164611,272.86514195461723,4.259559242661816,0.1746450069880371,24.389814035471325,2.1935074703843485e-131,2.565636012735053e-127,PTTG1
ENSG00000134057,397.33597172296487,4.063777385883375,0.1679639878243649,24.194337360772536,2.5520214483114103e-129,1.9899812580116275e-125,CCNB1
ENSG00000112984,201.12165525280176,4.103614078069429,0.1706000649993994,24.05400067159337,7.580689399667188e-128,4.433376678160364e-124,KIF20A
ENSG00000117399,402.6500215166563,4.826564402105781,0.2038571650731306,23.67620682046827,6.3415855811418895e-124,2.9669742299930445e-120,CDC20
ENSG00000090889,213.70397717609663,4.980332230639695,0.2107143250989667,23.63547057515225,1.6651408626001834e-123,6.492106699801015e-120,KIF4A
ENSG00000100526,165.2177300672264,4.55609073663978,0.1928997403472559,23.618957332124744,2.4614929942121868e-123,8.225957944800811e-120,CDKN3
ENSG00000237649,275.6731978228287,3.596275572048942,0.1548448858363172,23.22502001035073,2.5446215490075297e-119,7.440791486991645e-116,KIFC1
ENSG00000135451,372.4156495217932,4.373943247961506,0.1896068865038863,23.068483052549123,9.59705928508882e-118,2.4944889761786976e-114,TROAP
ENSG00000157456,203.12217119659573,4.094034413788703,0.1829537785035363,22.3774247641984,6.530899408898755e-111,1.5277732987236858e-107,CCNB2
ENSG00000186185,257.2261532249629,4.210560151164924,0.1889083556827973,22.28890371707551,4.7344359083362267e-110,1.0068423563973576e-106,KIF18B
ENSG00000117724,559.0122532169642,4.283123665081162,0.1946700538475346,22.00196476257052,2.757708134391593e-107,5.375922198985211e-104,CENPF
ENSG00000101057,476.2419740683093,5.214636393647827,0.2374292807828034,21.962903549449297,6.51971161173332e-107,1.1731970287175198e-103,MYBL2
ENSG00000066279,514.394740971388,3.9386122534249406,0.1794519957063131,21.94799917338774,9.049762423671142e-107,1.512150659835279e-103,ASPM
ENSG00000148773,710.3766526178371,3.960940015054787,0.1807999424955224,21.90786103348944,2.18610770987021e-106,3.409307843799588e-103,MKI67
ENSG00000146670,210.8478067827413,4.135316752421673,0.1892471055698199,21.85141347324865,7.536395745298801e-106,1.101868160436093e-102,CDCA5
ENSG00000080986,173.60755323148416,3.1899836320804007,0.1461369759881027,21.828723432323542,1.2383076026560255e-105,1.7039841028783766e-102,NDC80
ENSG00000165304,130.43764523854202,3.989168659728298,0.1838908230826006,21.69313613837289,2.381834159707021e-104,3.0954581387792416e-101,MELK
ENSG00000115163,71.66296045990428,4.653294725647822,0.2167326143593315,21.47020991465963,2.95679868026336e-102,3.6404416593368818e-99,CENPA
ENSG00000198901,317.4535424790176,3.4557434611624056,0.1610501614769636,21.457559740830877,3.8814774575344616e-102,4.539970108205183e-99,PRC1
ENSG00000158402,76.00811431558839,4.429931304025602,0.2076024532066748,21.33853061753304,4.983636913865417e-101,5.5515342060025576e-98,CDC25C
ENSG00000142945,223.8170534817608,4.273338994265691,0.2018322160974647,21.172729888681875,1.7039599691931627e-99,1.811851616333439e-96,KIF2C
ENSG00000143228,170.53683744498085,4.35890347855077,0.2059903407554428,21.160717840288324,2.198500723253241e-99,2.2360664095244814e-96,NUF2
ENSG00000077152,164.78518560272724,3.62159307041625,0.1714106325586513,21.12817050119137,4.381992409217456e-99,4.271164517867665e-96,UBE2T
ENSG00000169679,168.72744363118989,3.861237384027908,0.1829470224126916,21.10576785074826,7.040194277611289e-99,6.587650589446435e-96,BUB1
ENSG00000131747,1220.3145769363923,4.704247716069099,0.2230631291203366,21.089311060149623,9.970294503326572e-99,8.970580742935328e-96,TOP2A
ENSG00000170312,251.91956687563905,3.918930683101656,0.1863313459013643,21.032052680906222,3.3388690812298044e-98,2.892820904341067e-95,CDK1
